x	error	n	n_error	u	u_error	Events
2.2	2.34	-89.79	2.52	5.21	8.56	0.0
-0.31	2.42	-88.14	2.57	11.12	8.67	0.0
1.93	2.51	-91.12	2.68	-0.03	8.97	0.0
2.11	2.03	-90.16	2.17	-0.33	7.18	0.0
0.68	1.91	-88.49	2.06	1.64	6.98	0.0
1.36	2.33	-87.73	2.51	2.51	8.47	0.0
2.08	2.38	-89.53	2.58	5.65	8.58	0.0
0.88	2.35	-88.96	2.55	9.81	8.65	0.0
0.58	2.12	-88.53	2.3	0.61	7.71	0.0
1.13	2.02	-87.78	2.17	0.39	7.38	0.0
1.05	2.06	-88.0	2.24	4.1	7.49	0.0
1.18	1.42	-87.64	1.48	3.59	5.0	0.0
1.41	1.51	-89.08	1.57	4.29	5.28	0.0
1.74	1.53	-87.48	1.56	5.38	5.21	0.0
2.53	2.29	-87.38	2.49	6.1	8.23	0.0
1.37	1.42	-88.07	1.47	5.76	4.88	0.0
1.06	2.18	-87.66	2.37	3.24	8.01	0.0
2.05	1.73	-88.12	1.79	4.59	6.15	0.0
1.62	2.1	-87.28	2.26	4.21	7.55	0.0
1.68	2.26	-86.78	2.46	-2.86	8.37	0.0
0.95	2.07	-86.87	2.27	5.9	7.61	0.0
1.34	2.09	-87.28	2.32	4.2	7.67	0.0
0.61	1.97	-88.1	2.2	-0.73	7.25	0.0
0.4	1.91	-86.98	2.11	0.89	7.26	0.0
0.18	2.0	-87.43	2.19	-0.19	7.25	0.0
-0.18	2.07	-87.77	2.3	-0.96	7.67	0.0
-0.36	1.43	-87.44	1.55	4.01	5.17	0.0
0.84	1.36	-87.59	1.47	1.95	4.88	0.0
-1.22	2.17	-87.15	2.48	3.62	8.01	0.0
-0.49	2.03	-87.3	2.27	5.8	7.39	0.0
1.96	2.04	-87.45	2.3	-2.03	7.43	0.0
-0.15	2.48	-86.49	2.83	11.64	9.3	0.0
-0.88	2.08	-87.72	2.36	5.59	7.54	0.0
0.0	2.32	-87.35	2.67	6.0	8.5	0.0
-1.0	1.59	-85.92	1.73	3.43	5.72	0.0
-1.21	1.9	-87.09	2.13	-0.8	7.07	0.0
0.42	1.99	-87.43	2.25	4.06	7.22	0.0
-0.15	1.93	-87.82	2.18	2.45	7.2	0.0
-0.12	2.1	-87.0	2.34	-7.01	7.87	0.0
-2.41	2.0	-85.97	2.24	3.61	7.62	0.0
-1.64	2.24	-86.79	2.53	3.1	8.46	0.0
1.11	2.02	-86.43	2.25	1.43	7.68	0.0
-1.4	2.17	-87.65	2.43	7.65	8.37	0.0
-0.51	2.34	-86.02	2.63	6.73	9.16	0.0
0.81	2.2	-87.64	2.48	1.3	8.65	0.0
0.08	1.5	-86.13	1.68	3.48	5.68	0.0
-0.29	2.15	-86.31	2.46	0.21	8.42	0.0
-0.97	2.3	-86.4	2.66	-0.14	9.01	0.0
-2.01	2.25	-86.74	2.6	-0.57	8.76	0.0
-1.85	2.08	-85.4	2.45	8.06	8.05	0.0
-3.04	2.15	-86.41	2.48	7.25	7.89	0.0
-2.52	1.7	-86.47	1.92	-1.66	6.54	0.0
-1.42	2.06	-85.28	2.38	5.32	7.76	0.0
-3.16	1.44	-86.21	1.6	6.57	5.37	0.0
-2.75	1.91	-85.62	2.02	6.81	7.09	0.0
-1.02	2.0	-85.56	2.28	2.89	7.43	0.0
-1.76	2.04	-84.96	2.35	9.53	7.67	0.0
-2.56	2.67	-81.92	3.05	11.63	10.47	0.0
-2.24	2.27	-85.37	2.56	4.3	8.81	0.0
-1.5	1.86	-84.05	2.1	3.8	7.18	0.0
-1.73	1.93	-84.09	2.17	-1.9	7.34	0.0
-2.3	2.34	-85.21	2.65	10.43	9.1	0.0
-0.65	2.02	-84.89	2.4	5.32	7.63	0.0
-1.51	2.05	-84.04	2.38	4.2	7.82	0.0
-0.87	2.13	-84.54	2.44	6.7	8.22	0.0
-1.72	2.33	-87.21	2.69	6.27	9.12	0.0
-1.74	2.01	-85.68	2.32	11.21	7.86	0.0
-1.71	1.92	-84.3	2.3	2.47	7.5	0.0
-2.35	1.95	-85.59	2.24	7.35	7.37	0.0
-2.5	2.17	-86.01	2.51	3.04	8.27	0.0
-2.0	2.36	-85.15	2.75	9.02	9.21	0.0
-3.5	2.75	-84.44	3.25	-3.31	10.96	0.0
-0.73	2.02	-87.1	2.36	4.32	7.77	0.0
-1.71	1.9	-84.81	2.23	8.51	7.3	0.0
-1.03	1.34	-84.7	1.52	7.6	5.15	0.0
-2.38	1.85	-85.33	2.15	2.48	6.98	0.0
-1.43	2.46	-84.41	2.7	5.37	9.36	0.0
-1.68	2.48	-86.83	2.89	5.64	9.76	0.0
-3.49	2.79	-83.51	3.24	4.57	11.17	0.0
-4.11	2.65	-81.47	3.05	9.47	10.27	0.0
-2.67	2.97	-85.32	3.43	8.35	11.65	0.0
-3.85	2.16	-85.05	2.44	7.81	8.75	0.0
-1.93	2.16	-84.06	2.44	12.06	8.2	0.0
-2.67	2.0	-83.95	2.28	6.06	7.69	0.0
-1.48	1.88	-84.46	2.15	5.39	7.15	0.0
-2.16	2.13	-83.84	2.4	8.52	8.31	0.0
-2.48	1.9	-84.18	2.06	5.89	6.98	0.0
-2.52	2.79	-85.49	3.21	9.49	10.85	0.0
-0.56	2.24	-81.92	2.54	17.77	8.5	0.0
-3.42	1.83	-83.74	1.98	10.1	6.85	0.0
-2.46	2.39	-83.64	2.73	9.79	9.26	0.0
-1.37	1.83	-82.27	2.06	8.99	6.94	0.0
-0.71	2.5	-83.03	2.79	4.66	9.66	0.0
-1.42	2.5	-82.66	2.83	14.86	9.56	0.0
-0.92	2.11	-84.73	2.36	5.47	8.07	0.0
-1.36	2.15	-82.94	2.45	9.46	8.24	0.0
-0.94	2.11	-83.19	2.39	12.39	8.06	0.0
-3.86	2.16	-84.61	2.38	9.92	8.09	0.0
-1.88	1.95	-82.53	2.14	9.52	7.25	0.0
-2.48	1.86	-82.73	2.02	7.29	7.01	0.0
-2.24	2.01	-81.06	2.2	13.31	7.49	0.0
-4.65	2.59	-81.34	2.96	11.2	9.84	0.0
-2.18	2.29	-82.36	2.52	9.03	8.76	0.0
-2.14	2.19	-82.75	2.4	9.65	8.45	0.0
1.0	1.99	-79.03	2.18	10.57	7.5	0.0
-0.1	2.21	-81.67	2.49	16.42	8.3	0.0
-1.61	1.83	-81.18	2.06	11.49	6.89	0.0
-0.56	1.78	-81.27	1.99	7.48	6.69	0.0
-1.29	2.05	-81.44	2.3	13.43	7.8	0.0
-2.76	2.22	-80.48	2.5	16.91	8.57	0.0
-0.34	2.04	-80.35	2.3	13.52	7.91	0.0
-0.42	1.83	-80.64	2.06	10.03	6.95	0.0
-0.63	2.26	-80.56	2.66	15.65	9.22	0.0
-0.99	2.57	-78.62	2.88	15.59	9.98	0.0
-1.05	1.84	-80.93	2.13	6.21	7.23	0.0
-1.37	1.82	-80.32	2.08	6.34	7.11	0.0
-0.49	1.87	-78.89	2.21	13.57	7.36	0.0
-1.32	1.95	-78.94	2.24	13.22	7.6	0.0
-0.44	1.76	-79.39	2.03	14.55	6.86	0.0
-2.0	2.15	-79.25	2.49	15.19	8.43	0.0
-5.12	2.82	-78.78	3.29	15.92	11.42	0.0
-1.21	1.89	-79.97	2.16	10.38	7.34	0.0
-0.5	2.14	-77.22	2.43	16.49	8.31	0.0
-0.27	2.11	-80.58	2.37	11.01	8.3	0.0
-1.46	1.87	-80.46	2.12	2.88	7.24	0.0
-1.0	1.77	-80.9	2.01	11.11	6.88	0.0
-2.11	1.82	-79.22	2.06	7.54	7.18	0.0
-2.45	1.65	-79.43	1.84	12.02	6.45	0.0
-2.03	1.7	-79.32	1.87	7.98	6.57	0.0
-0.9	1.67	-78.21	1.84	13.03	6.45	0.0
-1.95	1.92	-79.32	2.14	19.8	7.47	0.0
-2.07	1.76	-79.02	1.96	12.27	6.75	0.0
-2.43	1.8	-79.18	2.04	14.33	7.1	0.0
-1.07	2.53	-77.09	2.75	17.0	9.86	0.0
-2.18	2.71	-79.0	2.98	19.61	10.81	0.0
-2.56	2.65	-79.71	2.81	9.85	9.83	0.0
0.05	2.15	-79.38	2.35	11.1	8.18	0.0
-2.19	3.03	-76.48	3.36	22.49	11.25	0.0
-3.08	2.91	-78.67	3.17	4.48	11.23	0.0
-1.92	2.84	-77.55	3.16	13.19	10.93	0.0
-2.84	2.59	-77.32	2.88	10.23	10.01	0.0
-2.21	1.94	-78.5	2.12	15.36	7.34	0.0
-2.61	1.77	-77.83	1.91	15.59	6.58	0.0
-2.21	2.12	-78.23	2.27	22.57	7.96	0.0
-4.98	2.53	-76.45	2.76	9.2	9.66	0.0
-4.06	2.1	-77.26	2.36	13.74	8.01	0.0
-1.65	2.47	-78.03	2.76	17.07	9.45	0.0
-1.82	1.97	-77.57	2.23	13.41	7.55	0.0
-2.68	2.38	-77.05	2.67	18.55	9.28	0.0
0.57	2.8	-77.82	3.19	7.11	10.78	0.0
-2.69	2.13	-78.19	2.38	3.89	8.21	0.0
-3.0	2.27	-77.26	2.52	3.89	8.76	0.0
-4.13	2.84	-78.36	3.17	9.39	11.26	0.0
-1.61	3.38	-78.09	3.8	10.78	13.6	0.0
-3.26	2.29	-78.63	2.48	10.57	8.45	0.0
-3.68	2.05	-77.33	2.22	7.64	7.66	0.0
-7.94	2.78	-75.03	3.09	4.83	10.54	0.0
-3.55	2.32	-76.32	2.55	12.51	8.67	0.0
-3.12	1.96	-76.76	2.16	6.29	7.48	0.0
-3.85	2.25	-75.47	2.51	13.36	8.69	0.0
-2.38	2.07	-77.53	2.27	8.3	7.92	0.0
-0.68	2.31	-77.31	2.33	5.5	8.26	0.0
-2.33	4.28	-75.19	3.88	12.42	13.63	0.0
-4.76	3.56	-79.03	3.88	7.46	12.43	0.0
-4.26	2.55	-77.12	2.65	15.56	9.06	0.0
-2.76	2.06	-77.17	2.3	9.93	7.79	0.0
-3.59	1.88	-77.03	2.22	11.28	7.53	0.0
-4.39	5.07	-79.11	4.2	7.26	14.67	0.0
-4.04	2.02	-77.4	2.26	6.91	7.5	0.0
-3.26	1.83	-76.12	2.05	5.74	6.93	0.0
-3.56	1.87	-77.15	2.08	5.24	7.12	0.0
-2.42	1.86	-75.57	2.1	7.06	6.97	0.0
-2.21	1.86	-77.03	2.12	10.95	6.96	0.0
-4.04	2.1	-77.77	2.33	10.27	7.85	0.0
-3.19	2.55	-76.94	2.83	9.48	9.92	0.0
-3.29	1.93	-75.09	2.14	8.33	7.3	0.0
-2.66	2.07	-76.69	2.35	6.43	7.77	0.0
-3.36	1.92	-76.85	2.19	12.58	7.2	0.0
-2.85	1.93	-77.28	2.16	10.89	7.36	0.0
-3.85	1.83	-75.4	2.05	9.56	6.86	0.0
-3.18	1.88	-75.07	2.12	10.89	7.05	0.0
-4.85	2.03	-77.19	2.31	3.51	7.83	0.0
-2.74	1.9	-76.23	2.13	5.32	7.12	0.0
-3.72	1.79	-75.51	2.03	11.95	6.67	0.0
-3.62	1.89	-75.54	2.15	9.87	7.3	0.0
-2.6	2.02	-74.09	2.27	14.78	7.58	0.0
-2.7	2.13	-76.27	2.43	14.16	8.04	0.0
-3.15	2.05	-75.92	2.35	9.26	7.84	0.0
-3.28	1.92	-75.56	2.19	7.28	7.18	0.0
-3.14	1.94	-75.27	2.2	5.6	7.22	0.0
-4.11	2.3	-74.45	2.62	6.81	8.69	0.0
-2.31	3.37	-73.0	3.82	8.27	13.24	0.0
-4.98	3.47	-72.55	3.97	-1.81	13.64	0.0
-4.53	2.54	-74.77	2.9	6.31	9.69	0.0
-4.64	2.0	-75.26	2.31	15.62	7.61	0.0
-3.07	1.58	-73.79	1.75	12.24	5.89	0.0
-7.25	3.62	-70.53	4.16	16.12	14.61	0.0
-3.47	2.29	-73.84	2.64	10.96	9.0	0.0
-5.41	1.7	-74.47	1.97	14.2	6.54	0.0
-5.31	1.77	-74.58	2.02	11.11	6.79	0.0
-7.02	2.06	-73.69	2.37	7.95	8.09	0.0
-6.35	1.93	-75.73	2.22	8.9	7.43	0.0
-4.56	1.8	-74.69	2.07	4.64	6.86	0.0
-5.9	1.81	-74.1	2.09	13.34	6.96	0.0
-7.31	1.95	-74.39	2.24	13.77	7.34	0.0
-5.86	1.87	-74.08	2.16	12.33	7.03	0.0
-4.87	2.23	-73.47	2.59	12.41	8.44	0.0
-4.82	2.57	-73.68	2.97	17.73	10.04	0.0
-6.33	2.15	-72.96	2.5	5.93	8.08	0.0
-6.86	2.45	-74.4	2.84	11.15	9.36	0.0
-3.2	2.64	-72.74	3.09	20.1	10.56	0.0
-5.4	2.29	-77.41	2.58	3.01	9.15	0.0
-5.0	1.65	-75.46	1.89	0.56	6.39	0.0
-5.49	1.74	-75.08	2.01	3.68	6.76	0.0
-5.33	1.85	-74.54	2.16	7.86	7.36	0.0
-6.27	1.69	-74.89	1.98	5.08	6.7	0.0
-5.53	1.66	-74.73	1.94	8.74	6.61	0.0
-5.56	1.87	-74.86	2.21	9.28	7.55	0.0
-6.02	1.68	-74.56	1.99	4.86	6.77	0.0
-6.35	1.66	-74.54	1.95	3.7	6.65	0.0
-6.58	1.88	-76.52	2.1	7.18	7.21	0.0
-7.85	2.16	-74.82	2.53	10.61	8.7	0.0
-5.19	2.36	-74.42	2.8	-0.4	9.6	0.0
-5.16	1.82	-75.19	2.15	7.78	7.25	0.0
-6.25	1.65	-75.03	1.92	9.66	6.6	0.0
-4.95	1.96	-75.84	2.28	1.9	7.95	0.0
-5.61	2.08	-74.94	2.44	5.06	8.23	0.0
-4.52	2.09	-73.61	2.48	2.05	8.37	0.0
-5.86	1.78	-75.69	2.12	1.08	7.17	0.0
-7.4	1.62	-74.61	1.89	-1.77	6.35	0.0
-7.38	1.61	-74.68	1.87	4.3	6.29	0.0
-7.86	1.69	-73.81	1.96	6.11	6.63	0.0
-7.21	1.53	-73.2	1.82	4.34	6.16	0.0
-7.97	1.58	-73.63	1.87	6.21	6.3	0.0
-7.0	1.65	-74.49	1.95	4.47	6.45	0.0
-7.18	1.57	-74.0	1.86	8.94	6.14	0.0
-6.57	1.77	-73.17	2.06	5.31	6.88	0.0
-5.72	1.93	-75.16	2.25	6.76	7.51	0.0
-4.82	2.17	-73.97	2.6	9.09	8.86	0.0
-7.52	1.82	-74.34	2.14	5.82	7.11	0.0
-6.6	2.29	-74.14	2.68	5.7	8.94	0.0
-6.17	1.94	-73.92	2.33	6.31	7.75	0.0
-7.68	2.47	-73.9	2.89	8.29	9.62	0.0
-6.38	1.65	-73.49	1.92	6.52	6.56	0.0
-8.43	1.69	-74.86	1.98	0.95	6.55	0.0
-8.25	1.71	-73.54	1.98	8.46	6.42	0.0
-8.91	1.87	-75.27	2.19	7.21	7.07	0.0
-8.18	1.82	-74.61	2.14	2.22	7.22	0.0
-7.56	1.9	-73.57	2.24	1.28	7.72	0.0
-6.92	1.61	-74.02	1.87	5.22	6.24	0.0
-5.98	1.94	-72.86	2.24	10.95	7.53	0.0
-8.92	2.27	-71.6	2.71	4.77	9.2	0.0
-7.49	1.62	-73.64	1.91	4.53	6.45	0.0
-7.25	1.51	-74.19	1.75	5.5	5.98	0.0
-6.2	1.74	-73.3	2.06	9.84	6.94	0.0
-6.54	1.79	-73.4	2.1	6.32	7.17	0.0
-4.9	2.09	-72.94	2.45	8.04	8.21	0.0
-5.07	1.75	-74.52	2.0	0.9	6.69	0.0
-6.83	1.61	-74.15	1.84	0.19	6.16	0.0
-5.98	1.57	-73.65	1.82	2.76	6.04	0.0
-7.58	2.26	-74.68	2.64	10.39	8.76	0.0
-5.46	2.27	-72.53	2.64	7.44	9.04	0.0
-5.83	1.98	-71.95	2.29	5.97	7.71	0.0
-6.52	2.53	-73.19	2.9	-0.74	10.12	0.0
-6.07	1.89	-73.22	2.2	5.56	7.46	0.0
-5.77	1.79	-72.95	2.02	1.86	6.67	0.0
-5.29	1.66	-73.24	1.85	1.52	6.16	0.0
-5.24	1.77	-74.51	1.99	0.16	6.7	0.0
-6.07	1.63	-72.85	1.85	3.82	6.21	0.0
-6.7	1.66	-72.68	1.87	3.25	6.28	0.0
-8.48	3.21	-72.42	2.84	11.78	7.61	0.0
-7.0	1.86	-71.26	2.09	8.85	7.22	0.0
-7.99	2.29	-71.39	2.62	5.67	8.84	0.0
-5.89	1.98	-72.52	2.23	1.62	7.77	0.0
-6.17	1.83	-71.75	2.07	5.37	6.93	0.0
-7.83	2.4	-71.29	2.76	5.54	9.27	0.0
-4.73	2.26	-71.12	2.61	16.24	8.73	0.0
-12.88	2.41	-68.6	2.78	8.71	9.38	0.0
-7.37	2.06	-70.73	2.32	7.11	7.77	0.0
-6.84	1.76	-72.52	1.96	9.39	6.95	0.0
-6.52	1.94	-71.52	2.18	1.89	7.33	0.0
-6.63	1.91	-72.04	2.21	-1.22	7.51	0.0
-5.86	1.74	-72.28	1.87	3.02	6.67	0.0
-6.5	2.0	-72.58	2.27	0.38	7.98	0.0
-6.91	2.48	-71.91	2.83	6.03	9.74	0.0
-7.2	2.08	-72.89	2.34	7.37	8.06	0.0
-8.18	1.83	-71.15	2.05	5.43	7.03	0.0
-7.87	2.5	-68.74	2.82	11.4	9.69	0.0
-6.29	2.5	-70.08	2.8	10.81	9.63	0.0
-9.23	2.37	-73.7	2.7	3.39	9.21	0.0
-6.98	2.13	-70.93	2.38	-1.9	8.03	0.0
-10.03	2.2	-70.76	2.42	0.89	8.16	0.0
-6.32	1.99	-72.5	2.2	8.47	7.53	0.0
-10.34	1.86	-71.14	2.02	11.26	7.12	0.0
-7.69	1.76	-70.51	1.88	6.91	6.45	0.0
-8.24	1.91	-70.32	2.05	10.2	7.28	0.0
-8.12	1.99	-69.72	2.11	11.98	7.41	0.0
-8.87	2.34	-67.18	2.51	16.83	8.75	0.0
-9.42	2.34	-68.16	2.5	5.82	8.9	0.0
-9.08	2.61	-68.67	2.82	0.89	9.87	0.0
-8.55	1.91	-68.37	2.03	5.45	7.09	0.0
-7.19	2.29	-67.7	2.43	8.17	8.61	0.0
-11.18	2.73	-68.88	2.93	1.64	10.51	0.0
-8.4	1.87	-70.23	1.99	3.33	6.93	0.0
-8.26	1.79	-69.85	1.89	3.66	6.88	0.0
-7.99	1.74	-70.23	1.85	2.89	6.49	0.0
-8.03	1.78	-70.41	1.89	6.12	6.6	0.0
-7.84	1.98	-70.26	2.14	9.37	7.44	0.0
-6.81	2.32	-69.34	2.51	7.47	8.78	0.0
-8.36	2.02	-69.82	2.18	7.58	7.52	0.0
-9.06	1.86	-68.71	2.03	0.67	7.07	0.0
-8.56	2.14	-68.49	2.32	4.22	8.14	0.0
-8.06	1.85	-67.38	2.02	9.85	6.88	0.0
-8.95	1.95	-68.3	2.14	3.14	7.29	0.0
-9.06	1.94	-66.93	2.11	0.75	7.24	0.0
-9.82	2.04	-68.06	2.22	-0.27	7.7	0.0
-8.7	1.94	-68.35	2.14	4.43	7.25	0.0
-8.48	1.9	-67.81	2.08	8.81	7.08	0.0
-8.73	1.96	-69.37	2.15	1.54	7.35	0.0
-9.09	2.05	-68.1	2.25	1.18	7.73	0.0
-7.65	1.94	-68.09	2.13	3.91	7.13	0.0
-8.92	1.88	-68.17	2.07	6.16	6.93	0.0
-8.82	2.16	-66.6	2.34	10.35	7.96	0.0
-8.61	1.96	-67.28	2.17	5.19	7.28	0.0
-9.03	1.94	-66.48	2.14	4.34	7.28	0.0
-7.22	1.97	-67.32	2.18	6.04	7.44	0.0
-7.65	2.27	-66.68	2.51	4.66	8.54	0.0
-9.2	2.26	-66.48	2.52	1.33	8.67	0.0
-9.08	2.34	-66.22	2.58	3.58	8.75	0.0
-6.64	2.07	-66.57	2.2	5.33	7.52	0.0
-6.29	2.07	-66.1	2.2	5.96	7.51	0.0
-7.12	1.92	-67.46	2.05	-3.81	6.93	0.0
-9.66	2.53	-65.8	2.71	5.83	9.33	0.0
-8.6	2.16	-66.12	2.31	2.25	7.86	0.0
-7.25	2.31	-65.29	2.47	3.14	8.45	0.0
-5.92	1.97	-67.34	2.1	2.83	7.24	0.0
-6.14	1.93	-66.39	2.05	4.73	6.91	0.0
-7.06	2.13	-66.59	2.26	7.38	7.67	0.0
-8.33	2.42	-64.3	2.58	7.98	8.75	0.0
-10.92	2.65	-63.43	2.82	2.25	9.89	0.0
-7.97	1.99	-66.89	2.14	-0.42	7.42	0.0
-7.92	1.79	-66.6	1.92	-3.62	6.69	0.0
-8.22	1.89	-65.67	2.04	-2.99	7.17	0.0
-7.76	1.85	-65.17	1.98	-2.12	6.97	0.0
-10.04	2.33	-65.31	2.54	3.27	8.82	0.0
-11.73	2.6	-63.78	2.79	-1.62	9.85	0.0
-8.15	2.42	-64.39	2.57	2.43	9.07	0.0
-9.23	1.95	-67.34	2.1	-2.01	7.37	0.0
-8.27	2.16	-66.77	2.31	1.11	8.1	0.0
-8.22	1.82	-66.07	1.96	2.55	6.86	0.0
-8.88	1.68	-66.8	1.83	-0.03	6.32	0.0
-9.19	1.77	-65.81	1.88	-0.46	6.54	0.0
-8.4	1.65	-66.53	1.87	-3.55	6.39	0.0
-9.92	1.79	-65.75	1.92	0.91	6.73	0.0
-9.25	1.96	-66.14	2.1	-2.59	7.15	0.0
-8.29	2.48	-65.35	2.66	0.36	9.23	0.0
-8.93	2.21	-65.76	2.35	4.17	7.97	0.0
-10.83	2.17	-65.21	2.31	-7.77	7.91	0.0
-7.84	2.16	-64.37	2.31	5.2	7.83	0.0
-9.29	1.74	-65.23	1.84	3.84	6.21	0.0
-11.29	2.34	-64.56	2.56	-1.46	8.59	0.0
-9.49	1.89	-66.27	2.04	0.76	6.92	0.0
-7.13	1.99	-67.26	2.17	1.03	7.41	0.0
-9.74	2.03	-65.66	2.25	-3.13	7.59	0.0
-11.24	2.01	-66.07	2.2	-5.43	7.44	0.0
-10.19	1.8	-65.59	1.96	-1.82	6.67	0.0
-9.66	1.84	-65.48	2.04	-0.27	7.0	0.0
-9.79	1.9	-64.26	2.09	1.88	7.14	0.0
-9.34	1.87	-64.41	2.05	-1.9	7.02	0.0
-10.34	1.89	-65.96	2.07	-2.76	7.02	0.0
-10.38	1.8	-64.49	1.98	-5.59	6.73	0.0
-11.18	1.78	-63.48	1.95	-2.77	6.69	0.0
-12.49	2.09	-63.64	2.27	-0.15	7.8	0.0
-12.05	2.03	-64.86	2.21	1.65	7.62	0.0
-10.47	2.45	-64.91	2.68	0.47	9.24	0.0
-11.02	2.37	-64.11	2.62	-3.15	8.85	0.0
-11.36	2.1	-62.53	2.35	-4.59	7.94	0.0
-11.12	2.08	-65.47	2.3	5.43	7.9	0.0
-10.55	1.95	-63.75	2.2	3.66	7.39	0.0
-11.64	2.06	-63.81	2.34	6.0	7.93	0.0
-10.67	1.94	-63.98	2.2	-0.54	7.39	0.0
-12.05	2.09	-64.08	2.37	0.61	8.05	0.0
-11.43	2.3	-62.87	2.63	4.61	8.95	0.0
-11.99	2.15	-62.97	2.46	0.07	8.32	0.0
-11.73	2.09	-63.06	2.39	-0.25	8.06	0.0
-11.07	1.96	-63.35	2.24	0.22	7.6	0.0
-12.47	1.89	-62.8	2.16	-2.76	7.38	0.0
-12.74	1.81	-62.7	2.05	-2.21	6.97	0.0
-10.98	1.86	-62.85	2.11	0.32	7.15	0.0
-13.43	2.62	-62.05	2.95	2.71	10.13	0.0
-14.17	2.71	-63.84	3.08	-2.77	10.73	0.0
-14.03	2.44	-63.13	2.76	-7.39	9.59	0.0
-11.71	1.96	-62.75	2.24	-2.37	7.73	0.0
-12.16	2.32	-63.29	2.62	1.24	9.06	0.0
-13.71	2.26	-59.51	2.56	0.48	8.86	0.0
-12.17	2.07	-62.1	2.38	0.26	8.14	0.0
-15.28	2.45	-60.55	2.8	12.12	9.67	0.0
-10.37	2.41	-65.94	2.78	3.62	9.53	0.0
-9.92	2.1	-62.17	2.43	5.04	8.37	0.0
-11.39	2.49	-62.02	2.84	-0.89	9.69	0.0
-12.38	2.29	-64.43	2.64	-0.69	9.1	0.0
-8.36	2.09	-63.71	2.39	3.98	8.17	0.0
-13.78	2.77	-65.18	3.2	-1.11	11.09	0.0
-14.13	2.47	-62.28	2.84	4.5	9.86	0.0
-12.07	2.34	-63.58	2.69	-1.46	9.31	0.0
-11.82	2.36	-64.1	2.72	-2.38	9.32	0.0
-12.23	2.55	-62.27	2.96	0.3	10.24	0.0
-11.76	1.95	-64.35	2.23	-5.94	7.69	0.0
-11.53	1.88	-64.03	2.14	-1.07	7.36	0.0
-10.95	2.15	-63.75	2.49	0.6	8.43	0.0
-9.52	2.18	-63.05	2.54	4.53	8.5	0.0
-11.77	2.23	-63.41	2.57	7.29	8.7	0.0
-10.39	2.77	-63.52	3.18	1.48	10.78	0.0
-11.44	1.83	-63.44	2.06	2.37	7.05	0.0
-11.16	2.0	-63.8	2.26	1.04	7.86	0.0
-12.42	2.07	-63.14	2.27	3.52	7.86	0.0
-11.4	1.86	-62.66	2.06	-1.3	7.01	0.0
-11.96	1.87	-63.35	2.06	5.65	6.96	0.0
-12.42	1.8	-61.92	2.02	5.87	7.05	0.0
-12.44	1.95	-64.4	2.19	4.64	7.51	0.0
-12.49	2.11	-63.94	2.32	6.6	8.08	0.0
-11.3	2.0	-62.01	2.26	6.54	7.92	0.0
-12.49	2.02	-62.19	2.27	5.6	7.96	0.0
-13.54	2.43	-62.38	2.74	7.57	9.62	0.0
-11.23	2.09	-62.74	2.32	1.23	8.18	0.0
-12.85	2.07	-63.79	2.25	1.15	7.91	0.0
-12.07	2.08	-63.56	2.28	0.36	8.0	0.0
-12.31	2.09	-62.47	2.23	4.21	7.7	0.0
-12.62	2.24	-61.63	2.39	-5.11	8.43	0.0
-12.58	2.2	-61.46	2.37	5.63	8.3	0.0
-12.87	2.17	-62.72	2.37	-2.66	8.39	0.0
-13.7	2.37	-61.75	2.59	1.76	8.98	0.0
-11.03	1.82	-62.94	1.99	-4.61	7.02	0.0
-11.31	2.16	-62.74	2.38	5.44	8.41	0.0
-11.64	2.02	-61.43	2.22	1.26	7.89	0.0
-12.55	1.84	-60.33	2.03	3.57	7.15	0.0
-10.76	1.82	-61.43	2.01	0.5	7.01	0.0
-11.5	1.9	-60.56	2.08	4.91	7.16	0.0
-11.51	1.97	-60.44	2.17	6.43	7.46	0.0
-10.93	1.92	-60.88	2.14	8.71	7.52	0.0
-10.71	1.98	-61.16	2.16	5.91	7.71	0.0
-12.7	2.43	-58.39	2.66	3.76	9.43	0.0
-12.08	2.01	-61.6	2.2	3.43	7.65	0.0
-11.83	2.03	-60.0	2.23	5.44	7.73	0.0
-12.0	2.03	-60.05	2.21	5.17	7.73	0.0
-12.01	2.08	-61.03	2.3	-0.55	8.07	0.0
-13.38	1.99	-59.06	2.19	3.21	7.67	0.0
-12.12	1.85	-58.76	1.99	6.86	7.07	0.0
-11.81	1.84	-59.12	2.03	8.41	7.05	0.0
-12.84	1.83	-58.53	2.02	9.37	7.03	0.0
-12.22	1.69	-58.74	1.86	11.01	6.48	0.0
-11.86	1.86	-59.83	2.05	8.9	7.16	0.0
-11.91	1.67	-59.29	1.84	6.88	6.4	0.0
-12.0	2.3	-57.33	2.57	9.0	9.03	0.0
-12.07	2.03	-59.34	2.26	9.31	7.84	0.0
-11.98	1.86	-58.92	2.07	5.56	7.09	0.0
-12.25	2.13	-59.36	2.37	9.02	8.21	0.0
-12.51	2.23	-57.06	2.49	11.96	8.43	0.0
-13.15	2.04	-56.4	2.28	7.6	7.77	0.0
-12.2	1.88	-57.29	2.09	12.02	6.97	1.0
-12.52	2.04	-58.03	2.26	7.14	7.63	1.0
-13.05	2.2	-57.77	2.44	20.16	8.44	1.0
-11.79	1.84	-57.96	2.02	9.27	6.98	1.0
-12.91	1.9	-56.63	2.08	9.48	7.22	1.0
-13.62	1.86	-56.61	2.0	15.1	6.8	1.0
